fon_kodu;kategoriler
AAL;Para Piyasası
AAS;K.D.
AAV;Hisse Senedi Yoğun, Yerli Hisse
ABJ;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
ABU;Özel Fon
AC1;Kısa Vadeli, Serbest Katılım Fonları
AC3;Döviz Fon
AC4;Para Piyasası
AC5;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
AC6;Döviz Fon
AC7;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
AC8;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
ACC;Hisse Senedi Yoğun, Yerli Hisse
ACD;K.D.
ACN;Döviz Fon
ACU;Döviz Fon
AD4;Borçlanma Araçları - Özel Sektör
ADE;Mutlak Getiri Hedefli
ADP;Bankacılık, Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
AED;K.D.
AES;Yabancı BYF Sepetleri, Yabancı Fonlar
AEV;Hisse Senedi Yoğun, Yerli Hisse
AFA;Yabancı Fonlar, Yabancı Hisse
AFO;Altın Fonları, Emtia Fonları
AFS;Sağlık - İlaç, Tematik Hisse, Yabancı Fonlar, Yabancı Hisse
AFT;Teknoloji, Tematik Hisse, Yabancı Fonlar, Yabancı Hisse
AFV;Yabancı Fonlar, Yabancı Hisse
AGC;K.D.
AHI;Hisse Senedi Yoğun, Yerli Hisse
AHN;Döviz Fon
AHU;Borçlanma Araçları - Özel Sektör
AHV;K.D.
AI1;Serbest İstatistiksel Arbitraj Fonları
AIH;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
AII;Döviz Fon, Serbest Özel Fonlar, Özel Fon
AIM;Hisse Senedi Yoğun, Serbest Hisse, Serbest Özel Fonlar, Yerli Hisse, Özel Fon
AIR;Döviz Fon, Serbest Özel Fonlar, Özel Fon
AIS;Para Piyasası
AJ1;Hisse Senedi Yoğun, Serbest İstatistiksel Arbitraj Fonları
AJE;Döviz Fon
AJK;Döviz Fon
AJL;Döviz Fon
AJN;Döviz Fon
AK2;Uzun Vadeli Borçlanma Araçları
AK3;Hisse Senedi Yoğun, Yerli Hisse
AKE;Döviz Fon, Eurobond Borçlanma Araçları
AKU;Endeks Temalı Fonlar, Hisse Senedi Yoğun, Tematik Hisse, Yerli Hisse
AL4;Kısa Vadeli, Serbest Katılım Fonları
AL5;Döviz Fon, Serbest Katılım Döviz Fonlar, Serbest Katılım Fonları
AL6;Kısa Vadeli, Serbest Katılım Fonları
AL7;Kısa Vadeli, Serbest Katılım Fonları
ALC;Hisse Senedi Yoğun, Kar Payı Ödeyen Fonlar, Yerli Hisse
ALE;Para Piyasası
AN1;K.D.
ANL;Para Piyasası
ANZ;Döviz Fon
AOJ;Hisse Senedi Yoğun, Serbest Hisse, Tematik Hisse, Yerli Hisse
AOY;Yabancı Fonlar, Yabancı Hisse
AP4;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
AP5;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
AP6;Hisse Senedi Yoğun, Serbest Hisse, Yerli Hisse
AP7;Serbest İstatistiksel Arbitraj Fonları
