fon_kodu;fon_adi;alis_tarihi;pay_sayisi;alis_fiyati;maliyet_tl
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;09.10.2023;1610;0,403596;649,79
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;09.10.2023;867;0,403596;349,92
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;10.07.2024;22226;0,629888;13999,89
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;11.10.2023;3600;0,416572;1499,66
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;29.01.2025;13700;0,729911;9999,78
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;04.11.2025;69815;0,859409;59999,64
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;09.10.2023;3497;0,285895;999,77
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;10.07.2024;31066;0,450643;13999,68
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;11.10.2023;5098;0,294206;1499,86
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;29.01.2025;19311;0,517836;9999,93
AFV;AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU;11.10.2023;6512;0,230325;1499,88
BRF;DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU;18.02.2026;21323;1,406891;29999,14
BVV;BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON;20.12.2023;1131;1,132741;1281,13
CVK;INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU;09.11.2023;801;1,871862;1499,36
DMG;DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU;11.10.2023;1359;1,47156;1999,85
DVT;DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON;11.10.2023;1838;2,72018;4999,69
DVT;DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON;24.01.2024;730;3,421894;2497,98
FBV;İŞ PORTFÖY MODEL SERBEST FON;05.03.2025;3208;4,674612;14996,16
FBV;İŞ PORTFÖY MODEL SERBEST FON;29.01.2025;3352;4,474586;14998,81
FDG;FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON;04.09.2025;14940;2,008008;29999,64
FDG;FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON;24.06.2025;23476;1,789061;42000,0
GBV;GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON;17.01.2025;1650;6,058326;9996,24
GGK;INVEO PORTFÖY ALTIN FON;11.10.2023;1000;3,664502;3664,5
GGK;INVEO PORTFÖY ALTIN FON;29.02.2024;229;4,364437;999,46
GGK;INVEO PORTFÖY ALTIN FON;29.02.2024;57;4,364437;248,77
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;08.11.2023;100;5,823748;582,37
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;20.12.2023;100;6,844785;684,48
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;21.02.2024;287;6,960054;1997,54
HJB;HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON;11.10.2023;2237;1,787374;3998,36
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;10.07.2024;5307;2,637789;13998,75
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;11.12.2024;1023;3,518197;3599,12
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;20.12.2023;810;1,850099;1498,58
KZL;KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU;22.02.2024;238;8,36312;1990,42
KZL;KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU;29.02.2024;117;8,495812;994,01
MJG;AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU;22.12.2023;731;2,735101;1999,36
MKG;AKTİF PORTFÖY ALTIN KATILIM FONU;11.10.2023;687;4,362576;2997,09
MKG;AKTİF PORTFÖY ALTIN KATILIM FONU;29.02.2024;184;5,430761;999,26
