fon_kodu;fon_adi;toplam_pay;agirlikli_ort_alis_fiyati;ilk_alis_tarihi;lot_sayisi;toplam_maliyet_tl
NAU;NEO PORTFÖY ALTIN FONU;175960;1,392349;14.11.2024;3;244997,7
RIK;RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON;37828;4,057697;23.10.2023;5;153494,56
PPN;NUROL PORTFÖY PARA PİYASASI (TL) FONU;50952;2,406177;16.05.2024;2;122599,54
PHE;PUSULA PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);56478;1,947569;04.02.2026;4;109994,82
MPP;MEKSA PORTFÖY PRİME SERBEST FON;5558;18,093567;02.07.2025;3;100564,04
AFT;AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU;128787;0,671643;09.10.2023;5;86498,88
FDG;FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON;38416;1,87421;24.06.2025;2;71999,64
NVB;NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON;38617;1,812672;16.05.2024;1;69999,95
ZBJ;ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU;36134;1,937225;16.05.2024;1;69999,69
MTH;MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON);23322;1,92936;04.02.2026;3;44996,54
RHI;RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON);23975;1,459792;04.02.2026;2;34998,52
BRF;DENİZ PORTFÖY BİRİNCİ FON SEPETİ FONU;21323;1,406891;18.02.2026;1;29999,14
FBV;İŞ PORTFÖY MODEL SERBEST FON;6560;4,572404;29.01.2025;2;29994,97
AFA;AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU;42003;0,630884;09.10.2023;5;26499,04
IVY;İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON;7140;2,674572;20.12.2023;3;19096,44
URA;ATA PORTFÖY ENERJİ DEĞİŞKEN FON;8239;1,820514;17.02.2026;1;14999,21
TFF;TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU;581;22,332329;24.01.2024;2;12975,08
GBV;GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON;1650;6,058326;17.01.2025;1;9996,24
DVT;DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON;2568;2,919655;11.10.2023;2;7497,67
YAY;YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU;10;579,85367;10.10.2023;3;5798,54
GGK;INVEO PORTFÖY ALTIN FON;1286;3,820164;11.10.2023;3;4912,73
HJB;HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON;2237;1,787374;11.10.2023;1;3998,36
MKG;AKTİF PORTFÖY ALTIN KATILIM FONU;871;4,588232;11.10.2023;2;3996,35
GPG;INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON;487;6,703057;08.11.2023;3;3264,39
OJK;QNB PORTFÖY ALTIN FONU;779;4,099457;29.02.2024;2;3193,48
OJT;QNB PORTFÖY TEKNOLOJİ FON SEPETİ FONU;650;4,611474;24.01.2024;1;2997,46
RBA;ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU;532;5,628859;11.10.2023;1;2994,55
KZL;KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU;355;8,406852;22.02.2024;2;2984,43
PAF;PARDUS PORTFÖY ALTIN FONU;2325;1,068338;21.12.2023;1;2483,89
SVB;STRATEJİ PORTFÖY AGRESİF DEĞİŞKEN FON;539;3,847171;11.10.2023;1;2073,63
YJK;YAPI KREDİ PORTFÖY ROBOTİK VE YARI İLETKEN TEKNOLOJİLERİ FON SEPETİ FONU;916;2,216034;21.02.2024;1;2029,89
DMG;DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU;1359;1,47156;11.10.2023;1;1999,85
MJG;AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU;731;2,735101;22.12.2023;1;1999,36
RTG;ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON;936;2,135676;20.12.2023;1;1998,99
AFV;AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU;6512;0,230325;11.10.2023;1;1499,88
CVK;INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU;801;1,871862;09.11.2023;1;1499,36
ZFB;AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON;576;2,390539;12.12.2023;3;1376,95
BVV;BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON;1131;1,132741;20.12.2023;1;1281,13
